NU_ANO_CENSO|ID_ALUNO|ID_MATRICULA|NU_DIA|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|NU_DURACAO_TURMA|NU_DUR_ATIV_COMP_MESMA_REDE|NU_DUR_ATIV_COMP_OUTRAS_REDES|NU_DUR_AEE_MESMA_REDE|NU_DUR_AEE_OUTRAS_REDES|NU_DIAS_ATIVIDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|CO_UF_END|CO_MUNICIPIO_END|TP_ZONA_RESIDENCIAL|TP_OUTRO_LOCAL_AULA|IN_TRANSPORTE_PUBLICO|TP_RESPONSAVEL_TRANSPORTE|IN_TRANSP_VANS_KOMBI|IN_TRANSP_MICRO_ONIBUS|IN_TRANSP_ONIBUS|IN_TRANSP_BICICLETA|IN_TRANSP_TR_ANIMAL|IN_TRANSP_OUTRO_VEICULO|IN_TRANSP_EMBAR_ATE5|IN_TRANSP_EMBAR_5A15|IN_TRANSP_EMBAR_15A35|IN_TRANSP_EMBAR_35|IN_TRANSP_TREM_METRO|IN_NECESSIDADE_ESPECIAL|IN_CEGUEIRA|IN_BAIXA_VISAO|IN_SURDEZ|IN_DEF_AUDITIVA|IN_SURDOCEGUEIRA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SINDROME_ASPERGER|IN_SINDROME_RETT|IN_TRANSTORNO_DI|IN_SUPERDOTACAO|IN_RECURSO_LEDOR|IN_RECURSO_TRANSCRICAO|IN_RECURSO_INTERPRETE|IN_RECURSO_LIBRAS|IN_RECURSO_LABIAL|IN_RECURSO_BRAILLE|IN_RECURSO_AMPLIADA_16|IN_RECURSO_AMPLIADA_20|IN_RECURSO_AMPLIADA_24|IN_RECURSO_NENHUM|TP_INGRESSO_FEDERAIS|TP_MEDIACAO_DIDATICO_PEDAGO|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|TP_ETAPA_ENSINO|ID_TURMA|CO_CURSO_EDUC_PROFISSIONAL|TP_UNIFICADA|TP_TIPO_TURMA|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2018|DCCB61AB7325444169D83586DFE541BD|306469816|2|6|1998|19|20|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|1|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13349177||0|0|31269875|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|86FE37B7CE89E2BCDBE0C5A0D0F4F4EB|304030881|22|7|1984|33|34|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13234797||0|0|31338745|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|A44D50564633FE96E635961DF17EEF98|306470003|8|12|1997|20|21|260|0|0|0|0|5|2|5|1|76|31|3139300|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|1|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13349177||0|0|31269875|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|280C153DDA75426F7648A5BCA498AF29|304025603|12|4|2000|18|18|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|1|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13232803||0|0|31297518|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|5640454B95B58004A810088041A960DD|298372235|16|4|1998|20|20|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|12983407||0|0|31356786|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|9E23575DB52D7C304F533350BC2632DE|303903051|12|6|2000|17|18|260|0|0|0|0|5|2|2|1|76|31|3132107|31|3132107|2|3|1|2|0|0|1|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13230286||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|16D85216CC79D78F68BF5884164F16D6|303896161|7|11|1997|20|21|210|0|0|0|0|5|2|5|1|76|31|3142254|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|1|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13229966||0|0|31361461|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|3E55D7F8CA86CA694231117BEED2DC50|303896270|16|2|1997|21|21|210|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|1|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13229966||0|0|31361461|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|448E53D0E97E43143DF1C1A760A705D8|306471688|16|9|1995|22|23|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|1|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13349177||0|0|31269875|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|4AF5219D3B89C9E3BE69AC6B8D90A7AA|303882727|14|8|1999|18|19|260|0|0|0|0|5|2|5|1|76|31|3139300|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|13229506||0|0|31319058|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|B6F2625729220C1682312B70E0D6621F|304025605|10|8|2000|17|18|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|1|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13232803||0|0|31297518|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|12A58F00624391C3148DF7012100DEF1|306469809|16|7|1999|18|19|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|1|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13349176||0|0|31269875|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|A82F405614CBFDF004F8F5FB57D0348D|304025573|25|3|1999|19|19|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|1|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13232803||0|0|31297518|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|C88449AF7DA9896C0D674695FB1C538B|306469818|31|3|1997|21|21|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|1|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13349176||0|0|31269875|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|5D21AB471FAC217D879617A0CF11A82D|303903700|6|8|1995|22|23|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|1|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13230327||0|0|31338753|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|FBB79BCEC61821A610F8FECEE22D58D0|306469865|14|5|1999|19|19|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|1|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13349176||0|0|31269875|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|E36B013DBF6C5444C46F97B4A65BC637|303902613|15|6|2000|17|18|260|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13230240||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|DC318E2323D59F4C393239F01A60B48A|304025068|4|1|2000|18|18|260|0|0|0|0|5|2|5|1|76|31|3132107|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|1|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13232803||0|0|31297518|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2018|41BF81DECC0201BA6309CC23AE134DC4|303902348|23|8|2000|17|18|260|0|0|0|0|5|2|5|1|76|31|3132107|31|3162450|2|3|1|2|0|0|1|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|13230240||0|0|31322571|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
